Group 1,Group 2,H,p-value,q-value
2018-04-17T11:43:00Z (n=37),2018-04-17T11:44:00Z (n=85),0.03481329248904785,0.8519874357462738,0.8519874357462738
2018-04-17T11:43:00Z (n=37),2018-04-17T11:45:00Z (n=131),0.4208825565255552,0.5164969939467763,0.5738855488297514
2018-04-17T11:43:00Z (n=37),2018-04-17T11:46:00Z (n=1),0.6008316008316115,0.4382609084929632,0.547826135616204
2018-04-17T11:43:00Z (n=37),2018-04-24T11:21:00Z (n=1),2.546777546777548,0.11051946560235004,0.4841455264704361
2018-04-17T11:44:00Z (n=85),2018-04-17T11:45:00Z (n=131),1.0304052278385143,0.3100635103149106,0.547826135616204
2018-04-17T11:44:00Z (n=85),2018-04-17T11:46:00Z (n=1),0.7501014198783196,0.386444122538967,0.547826135616204
2018-04-17T11:44:00Z (n=85),2018-04-24T11:21:00Z (n=1),2.531845841785014,0.11156963462700444,0.4841455264704361
2018-04-17T11:45:00Z (n=131),2018-04-17T11:46:00Z (n=1),0.7274866555702602,0.39369907630059986,0.547826135616204
2018-04-17T11:45:00Z (n=131),2018-04-24T11:21:00Z (n=1),2.121506055214411,0.14524365794113084,0.4841455264704361
2018-04-17T11:46:00Z (n=1),2018-04-24T11:21:00Z (n=1),1.0,0.31731050786291115,0.547826135616204
