Group 1,Group 2,H,p-value,q-value
2018-04-17T11:43:00Z (n=37),2018-04-17T11:44:00Z (n=85),0.13308775059130085,0.7152517926475359,0.7152517926475359
2018-04-17T11:43:00Z (n=37),2018-04-17T11:45:00Z (n=131),0.16929278526458802,0.6807410980276744,0.7152517926475359
2018-04-17T11:43:00Z (n=37),2018-04-17T11:46:00Z (n=1),2.846153846153854,0.09159281818449766,0.2543872245275935
2018-04-17T11:43:00Z (n=37),2018-04-24T11:21:00Z (n=1),2.264033264033273,0.1324088152687524,0.2543872245275935
2018-04-17T11:44:00Z (n=85),2018-04-17T11:45:00Z (n=131),0.8949250815813912,0.3441461380108497,0.4301826725135621
2018-04-17T11:44:00Z (n=85),2018-04-17T11:46:00Z (n=1),2.4052738336714015,0.12092696224160245,0.2543872245275935
2018-04-17T11:44:00Z (n=85),2018-04-24T11:21:00Z (n=1),2.2819472616632765,0.13088744894565685,0.2543872245275935
2018-04-17T11:45:00Z (n=131),2018-04-17T11:46:00Z (n=1),2.35705676404757,0.12471729682418536,0.2543872245275935
2018-04-17T11:45:00Z (n=131),2018-04-24T11:21:00Z (n=1),2.0457441313207028,0.15263233471655607,0.2543872245275935
2018-04-17T11:46:00Z (n=1),2018-04-24T11:21:00Z (n=1),1.0,0.31731050786291115,0.4301826725135621
