	shannon_entropy
SRR7013947	3.8127865559839575
SRR7013948	4.6583952274334335
SRR7013950	2.83327444606067
SRR7013951	4.756827341931276
SRR7013952	4.394672617833433
SRR7013953	5.33419771522682
SRR7013954	4.333355207282723
SRR7013955	5.457103186625468
SRR7013956	4.416252356810037
SRR7013958	4.445706453156761
SRR7013959	4.771593209691422
SRR7013960	5.28002283054562
SRR7013961	4.410822804817524
SRR7013969	3.634561481513381
SRR7013970	4.383710038982127
SRR7013971	4.454932415957646
SRR7013972	4.379017803915617
SRR7013975	4.626993458102342
SRR7013976	4.152359557132507
SRR7013977	3.7364822581299255
SRR7013979	5.542326489059934
SRR7013980	5.280563886766326
SRR7013981	4.717858879770307
SRR7013982	5.678525054577557
SRR7013983	2.1112836717375063
SRR7013984	5.493849452962231
SRR7013985	4.13227812482051
SRR7013986	4.654735335290738
SRR7013990	4.806324670275212
SRR7013991	4.424113652590556
SRR7013992	4.446313699562519
SRR7013993	4.442473127893152
SRR7013994	4.453343797173653
SRR7013995	4.1129654574237104
SRR7013996	3.9088661398031417
SRR7013997	4.749090515526238
SRR7013998	4.96465561928288
SRR7013999	5.452812859727017
SRR7014000	5.0183510960820845
SRR7014001	5.456689318937434
SRR7014002	4.654442234111831
SRR7014003	4.468903745848504
SRR7014004	5.7001862162222325
SRR7014005	5.660742804469908
SRR7014006	3.129005725446221
SRR7014007	3.8930322420610826
SRR7014009	4.984947860235025
SRR7014010	3.4938637615721473
SRR7014014	4.887516889916955
SRR7014015	3.814221950839686
SRR7014016	4.182136777006796
SRR7014017	4.373255169473443
SRR7014018	4.654236152614213
SRR7014023	4.181681743221988
SRR7014024	3.8734822243561653
SRR7014025	4.989729186954972
SRR7014026	5.208966090728763
SRR7014027	4.883193277066837
SRR7014028	5.1912713340610965
SRR7014032	6.010696046860693
SRR7014033	4.849049327990036
SRR7014034	3.610391931257256
SRR7014035	4.07588627345265
SRR7014036	1.6909470531658575
SRR7014037	4.438336818509222
SRR7014043	4.292009738992238
SRR7014044	4.470284255769437
SRR7014045	5.608661773369374
SRR7014046	5.079859425248895
SRR7014047	4.044593980974438
SRR7014048	2.322596868363417
SRR7014049	5.279817467779084
SRR7014050	5.234609620514285
SRR7014051	5.406008815064421
SRR7014052	4.880603520189566
SRR7014053	4.486711389948732
SRR7014055	4.529389675201729
SRR7014056	5.482342800890039
SRR7014057	1.4467672481153198
SRR7014058	0.8649611570173722
SRR7014059	4.533579102623555
SRR7014060	3.0323252470362165
SRR7014061	3.9404476969274005
SRR7014062	4.177111673897697
SRR7014066	4.189178648918025
SRR7014067	3.6996083873231576
SRR7014068	3.5388768050474644
SRR7014072	2.2133743852719525
SRR7014073	5.4513958891262275
SRR7014074	3.05217626497155
SRR7014075	3.2705565227547098
SRR7014076	4.1217921322522155
SRR7014077	3.683157520330575
SRR7014078	2.96321177995229
SRR7014082	3.4910653938679044
SRR7014083	3.406405928493896
SRR7014084	3.722859158071242
SRR7014085	5.119922646129483
SRR7014086	5.461183391692042
SRR7014087	2.876360108089067
SRR7014089	4.0119749071697
SRR7014090	3.538647549759395
SRR7014091	5.353085727712252
SRR7014092	3.5606919835000737
SRR7014093	4.966088648264194
SRR7014097	4.62809340216464
SRR7014098	5.153796945030878
SRR7014099	4.569394157899468
SRR7014101	5.15371011708527
SRR7014102	4.690584174613909
SRR7014103	5.035858445009197
SRR7014110	4.894760891723371
SRR7014111	3.3887921029409513
SRR7014112	5.008908632123092
SRR7014114	5.220163454444449
SRR7014115	4.990835253204041
SRR7014120	4.44447101856846
SRR7014121	3.6720520165598693
SRR7014123	3.6615668260193592
SRR7014124	4.534153579797886
SRR7014128	3.818779093032931
SRR7014129	3.5316523534047395
SRR7014133	5.347159084296398
SRR7014134	2.958113208470703
SRR7014135	5.898471174586681
SRR7014136	5.75245059009826
SRR7014137	1.863319362035636
SRR7014138	5.204693725139956
SRR7014139	5.758125673292873
SRR7014140	5.7752314564533185
SRR7014141	4.026833755805586
SRR7014142	4.369401948692583
SRR7014143	3.511646866115463
SRR7014144	4.3176959098063525
SRR7014145	4.783073578434788
SRR7014146	4.85044390462824
SRR7014150	3.764304005212154
SRR7014151	5.382001686346091
SRR7014152	5.891963036513973
SRR7014159	4.873269915995357
SRR7014160	4.407002936952861
SRR7014162	3.263865239176219
SRR7014163	4.5453638946486326
SRR7014167	2.4430598980943183
SRR7014168	3.4862866660464458
SRR7014175	5.063399325094861
SRR7014176	4.821663478834055
SRR7014177	4.306140484932193
SRR7014189	4.753270741501116
SRR7014190	4.36377712807999
SRR7013949	4.516103552271411
SRR7014191	4.6840151597272035
SRR7014192	5.672864737078974
SRR7014193	3.98937016723843
SRR7014194	4.969175408556459
SRR7014195	4.624887816290986
SRR7014196	2.9214302795732037
SRR7014197	4.342113740046302
SRR7014201	5.487888556681101
SRR7014202	3.4136959478432023
SRR7013957	3.388600603067623
SRR7013962	5.140304597240945
SRR7013963	5.090155781600823
SRR7013964	4.723505457106534
SRR7013965	3.1066074349240895
SRR7013966	0.4275865850312264
SRR7013967	4.653702600971508
SRR7013968	4.244699007656303
SRR7013973	3.9524712451691917
SRR7013974	5.093788447270792
SRR7013978	4.148762881993234
SRR7013987	4.590234616764971
SRR7013988	3.9637691310793874
SRR7013989	3.5793476450320045
SRR7014008	5.2791755533822355
SRR7014011	3.7371413816969
SRR7014012	3.947870921116757
SRR7014013	4.778927485588529
SRR7014019	4.675547285682066
SRR7014020	5.391148153452629
SRR7014021	3.8079522288565517
SRR7014022	5.841354368329613
SRR7014029	3.921071510433467
SRR7014030	4.8137932558222305
SRR7014031	3.5419432348081585
SRR7014038	5.054030140698494
SRR7014039	4.790280646195302
SRR7014040	3.58251849581913
SRR7014041	4.826763122339147
SRR7014042	5.3247572862154495
SRR7014054	5.372097105177251
SRR7014063	5.076728103036307
SRR7014064	3.72519743749626
SRR7014065	4.103140536599731
SRR7014069	4.099214371577563
SRR7014070	3.5847935844387337
SRR7014071	4.225553802357488
SRR7014079	5.022168717522731
SRR7014080	3.7136780056259933
SRR7014081	4.621756261333153
SRR7014088	2.8002766967321575
SRR7014094	4.247135591003673
SRR7014095	4.361704007026764
SRR7014096	3.5400753253270394
SRR7014100	4.674568834852296
SRR7014104	4.157075533565784
SRR7014105	4.546245577689283
SRR7014106	3.2922802837949368
SRR7014107	4.247708116667261
SRR7014108	4.507979166547149
SRR7014109	4.131804698384654
SRR7014113	5.6637408028488885
SRR7014116	5.389023862510099
SRR7014117	5.511503575402522
SRR7014118	4.31229491842195
SRR7014119	4.630448364622058
SRR7014122	4.3751415419266735
SRR7014125	4.529557122727425
SRR7014126	3.0246149891523806
SRR7014127	4.5187957796286895
SRR7014130	5.433283714710483
SRR7014131	4.106795940515723
SRR7014132	3.833968005239945
SRR7014147	4.5477655430274195
SRR7014148	5.6625044804520925
SRR7014149	5.064023393274631
SRR7014153	4.591172546157934
SRR7014154	4.767353778889369
SRR7014155	5.7028395363095985
SRR7014156	6.128750714215871
SRR7014157	4.656401009848823
SRR7014158	4.9775919321166775
SRR7014161	4.243067438288974
SRR7014164	4.010625943644539
SRR7014165	3.7704225673885996
