	SubjectID1	SubjectID2	Group1	Group2	Distance
0	SRR7013954	SRR7013953	Crohn's disease	Crohn's disease	0.5885759708653919
1	SRR7013955	SRR7013953	Crohn's disease	Crohn's disease	0.5372079190432515
2	SRR7013955	SRR7013954	Crohn's disease	Crohn's disease	0.37692947872176724
3	SRR7013956	SRR7013953	Crohn's disease	Crohn's disease	0.5336845840146369
4	SRR7013956	SRR7013954	Crohn's disease	Crohn's disease	0.34592530067261196
5	SRR7013956	SRR7013955	Crohn's disease	Crohn's disease	0.34346919532142367
6	SRR7013958	SRR7013953	Crohn's disease	Crohn's disease	0.6219562379085855
7	SRR7013958	SRR7013954	Crohn's disease	Crohn's disease	0.5628211429407352
8	SRR7013958	SRR7013955	Crohn's disease	Crohn's disease	0.5782446470231807
9	SRR7013958	SRR7013956	Crohn's disease	Crohn's disease	0.5371384770528753
10	SRR7013959	SRR7013953	Crohn's disease	Crohn's disease	0.5871598242021305
11	SRR7013959	SRR7013954	Crohn's disease	Crohn's disease	0.4929777409040833
12	SRR7013959	SRR7013955	Crohn's disease	Crohn's disease	0.5461870088444215
13	SRR7013959	SRR7013956	Crohn's disease	Crohn's disease	0.5546139592907912
14	SRR7013959	SRR7013958	Crohn's disease	Crohn's disease	0.5614461278436667
15	SRR7013960	SRR7013953	Crohn's disease	Crohn's disease	0.545133009292511
16	SRR7013960	SRR7013954	Crohn's disease	Crohn's disease	0.23744507481609226
17	SRR7013960	SRR7013955	Crohn's disease	Crohn's disease	0.40503177701600745
18	SRR7013960	SRR7013956	Crohn's disease	Crohn's disease	0.3684233322830039
19	SRR7013960	SRR7013958	Crohn's disease	Crohn's disease	0.5312273449811982
20	SRR7013960	SRR7013959	Crohn's disease	Crohn's disease	0.43395369909698983
21	SRR7013961	SRR7013953	Crohn's disease	Crohn's disease	0.5603358126646302
22	SRR7013961	SRR7013954	Crohn's disease	Crohn's disease	0.38449671957707854
23	SRR7013961	SRR7013955	Crohn's disease	Crohn's disease	0.3943643763582307
24	SRR7013961	SRR7013956	Crohn's disease	Crohn's disease	0.3901773473809709
25	SRR7013961	SRR7013958	Crohn's disease	Crohn's disease	0.5517763266311827
26	SRR7013961	SRR7013959	Crohn's disease	Crohn's disease	0.5371597933189425
27	SRR7013961	SRR7013960	Crohn's disease	Crohn's disease	0.40084823889720783
28	SRR7013969	SRR7013953	Crohn's disease	Crohn's disease	0.6869733891220392
29	SRR7013969	SRR7013954	Crohn's disease	Crohn's disease	0.5803179738730888
30	SRR7013969	SRR7013955	Crohn's disease	Crohn's disease	0.6969206985229689
31	SRR7013969	SRR7013956	Crohn's disease	Crohn's disease	0.6632362786167162
32	SRR7013969	SRR7013958	Crohn's disease	Crohn's disease	0.6184638230875351
33	SRR7013969	SRR7013959	Crohn's disease	Crohn's disease	0.6058822701539395
34	SRR7013969	SRR7013960	Crohn's disease	Crohn's disease	0.5909471706765622
35	SRR7013969	SRR7013961	Crohn's disease	Crohn's disease	0.6613461041999805
36	SRR7013970	SRR7013953	Crohn's disease	Crohn's disease	0.6384362568199258
37	SRR7013970	SRR7013954	Crohn's disease	Crohn's disease	0.5492855411483564
38	SRR7013970	SRR7013955	Crohn's disease	Crohn's disease	0.6163599438006053
39	SRR7013970	SRR7013956	Crohn's disease	Crohn's disease	0.6390708252550569
40	SRR7013970	SRR7013958	Crohn's disease	Crohn's disease	0.6359287859851693
41	SRR7013970	SRR7013959	Crohn's disease	Crohn's disease	0.4925600911429254
42	SRR7013970	SRR7013960	Crohn's disease	Crohn's disease	0.5360217873173165
43	SRR7013970	SRR7013961	Crohn's disease	Crohn's disease	0.6172708473514987
44	SRR7013970	SRR7013969	Crohn's disease	Crohn's disease	0.3946561538977126
45	SRR7013971	SRR7013953	Crohn's disease	Crohn's disease	0.6124729998610093
46	SRR7013971	SRR7013954	Crohn's disease	Crohn's disease	0.4381689725415414
47	SRR7013971	SRR7013955	Crohn's disease	Crohn's disease	0.5089220351896906
48	SRR7013971	SRR7013956	Crohn's disease	Crohn's disease	0.5304396063856178
49	SRR7013971	SRR7013958	Crohn's disease	Crohn's disease	0.5739651011162031
50	SRR7013971	SRR7013959	Crohn's disease	Crohn's disease	0.4912015420248532
51	SRR7013971	SRR7013960	Crohn's disease	Crohn's disease	0.3515459888816571
52	SRR7013971	SRR7013961	Crohn's disease	Crohn's disease	0.5490540671528974
53	SRR7013971	SRR7013969	Crohn's disease	Crohn's disease	0.5715213386661774
54	SRR7013971	SRR7013970	Crohn's disease	Crohn's disease	0.5032652112455855
55	SRR7013972	SRR7013953	Crohn's disease	Crohn's disease	0.6413058287747355
56	SRR7013972	SRR7013954	Crohn's disease	Crohn's disease	0.4378746449350988
57	SRR7013972	SRR7013955	Crohn's disease	Crohn's disease	0.5668095608901936
58	SRR7013972	SRR7013956	Crohn's disease	Crohn's disease	0.5069619594753801
59	SRR7013972	SRR7013958	Crohn's disease	Crohn's disease	0.5334029474239771
60	SRR7013972	SRR7013959	Crohn's disease	Crohn's disease	0.5788632262922081
61	SRR7013972	SRR7013960	Crohn's disease	Crohn's disease	0.4315422758473569
62	SRR7013972	SRR7013961	Crohn's disease	Crohn's disease	0.5649353163170506
63	SRR7013972	SRR7013969	Crohn's disease	Crohn's disease	0.5267191837663875
64	SRR7013972	SRR7013970	Crohn's disease	Crohn's disease	0.5544450859155283
65	SRR7013972	SRR7013971	Crohn's disease	Crohn's disease	0.35202359284142704
66	SRR7013975	SRR7013953	Crohn's disease	Crohn's disease	0.6427527701242788
